API_URL,API_Type,API_Slug,Frontend_URL,Status,Title,Content_Length,Headings,First_Paragraph
https://webadmin.pmc.gov.in/api/basic-page/old-pmc-limit?lang=en,basic-page,old-pmc-limit,https://www.pmc.gov.in/en/b/old-pmc-limit,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/preservation-conservation-and-ongoing-projects?lang=en,basic-page,preservation-conservation-and-ongoing-projects,https://www.pmc.gov.in/en/b/preservation-conservation-and-ongoing-projects,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/essential-Details-for-Key-Citizen-Services?lang=en,basic-page,essential-Details-for-Key-Citizen-Services,https://www.pmc.gov.in/en/b/essential-Details-for-Key-Citizen-Services,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/grade-lists?lang=en,basic-page,grade-lists,https://www.pmc.gov.in/en/b/grade-lists,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/heritage-yatra-competitions?lang=en,basic-page,heritage-yatra-competitions,https://www.pmc.gov.in/en/b/heritage-yatra-competitions,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/women-empowerment-centres?lang=en,basic-page,women-empowerment-centres,https://www.pmc.gov.in/en/b/women-empowerment-centres,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/water-distribution?lang=en,basic-page,water-distribution,https://www.pmc.gov.in/en/b/water-distribution,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/model-schools?lang=en,basic-page,model-schools,https://www.pmc.gov.in/en/b/model-schools,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tdr-generation-old?lang=en,basic-page,tdr-generation-old,https://www.pmc.gov.in/en/b/tdr-generation-old,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/water-purification-plants?lang=en,basic-page,water-purification-plants,https://www.pmc.gov.in/en/b/water-purification-plants,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tree-authority-officers?lang=en,basic-page,tree-authority-officers,https://www.pmc.gov.in/en/b/tree-authority-officers,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/road_map?lang=en,basic-page,road_map,https://www.pmc.gov.in/en/b/road_map,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/e-office?lang=en,basic-page,e-office,https://www.pmc.gov.in/en/b/e-office,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/local-body-tax-sub-sections?lang=en,basic-page,local-body-tax-sub-sections,https://www.pmc.gov.in/en/b/local-body-tax-sub-sections,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/license-inspector?lang=en,basic-page,license-inspector,https://www.pmc.gov.in/en/b/license-inspector,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/other-dp-plan?lang=en,basic-page,other-dp-plan,https://www.pmc.gov.in/en/b/other-dp-plan,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/precaution-and-guidelines?lang=en,basic-page,precaution-and-guidelines,https://www.pmc.gov.in/en/b/precaution-and-guidelines,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/current-status-dams-pune-region-2025?lang=en,basic-page,current-status-dams-pune-region-2025,https://www.pmc.gov.in/en/b/current-status-dams-pune-region-2025,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/100-day-action-plan?lang=en,basic-page,100-day-action-plan,https://www.pmc.gov.in/en/b/100-day-action-plan,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/csr?lang=en,basic-page,csr,https://www.pmc.gov.in/en/b/csr,Found,,197,,
https://webadmin.pmc.gov.in/api/basic-page/pune-darshan-ac-bus?lang=en,basic-page,pune-darshan-ac-bus,https://www.pmc.gov.in/en/b/pune-darshan-ac-bus,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/organizational-structure?lang=en,basic-page,organizational-structure,https://www.pmc.gov.in/en/b/organizational-structure,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/RGAe-L?lang=en,basic-page,RGAe-L,https://www.pmc.gov.in/en/b/RGAe-L,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/covid-19?lang=en,basic-page,covid-19,https://www.pmc.gov.in/en/b/covid-19,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/merged-23-villages-11-09-1997?lang=en,basic-page,merged-23-villages-11-09-1997,https://www.pmc.gov.in/en/b/merged-23-villages-11-09-1997,Found,,191,,
